Resource, Speed
devices/albq-asw1/interfaces/vme.0, 1000
devices/albq-asw1/interfaces/gr-0%2F0%2F0, 800
devices/albq-asw1/interfaces/jsrv.1, 1000
devices/albq-asw1/interfaces/pfh-0%2F0%2F0, 800
devices/albq-asw1/interfaces/pfe-0%2F0%2F0, 800
devices/albq-asw1/interfaces/irb.0, 1000
devices/albq-asw1/interfaces/ae10, 10000
devices/albq-asw1/interfaces/ae10.0, 10000
devices/albq-asw1/interfaces/irb.909, 1000
devices/albq-asw1/interfaces/ge-0%2F0%2F1, 1000
devices/albq-asw1/interfaces/ge-0%2F0%2F1.0, 1000
devices/albq-asw1/interfaces/ge-0%2F0%2F0.0, 1000
devices/albq-asw1/interfaces/ge-0%2F0%2F4.0, 100
devices/albq-asw1/interfaces/ge-0%2F0%2F3.0, 1000
devices/albq-asw1/interfaces/ge-0%2F0%2F5.0, 100
devices/albq-asw1/interfaces/ge-0%2F0%2F6.0, 1000
devices/albq-asw1/interfaces/xe-0%2F0%2F32, 10000
devices/albq-asw1/interfaces/xe-0%2F0%2F32.0, 10000
devices/albq-asw1/interfaces/ge-0%2F0%2F7.0, 100
devices/albq-asw1/interfaces/ge-0%2F0%2F8.0, 1000
devices/albq-cr5/interfaces/to_snla-rt1_ip-a, 10000
devices/albq-cr5/interfaces/3%2F1%2F1, 100000
devices/albq-cr5/interfaces/to_abqg_ip-a, 10000
devices/albq-cr5/interfaces/lag-10, 10000
devices/albq-cr5/interfaces/to_kcnsc-nm_ip-a, 10000
devices/albq-cr5/interfaces/to_lanl_ip-a_v6, 100000
devices/albq-cr5/interfaces/to_abqg_ip-a_v6, 10000
devices/albq-cr5/interfaces/to_lanl_ip-b, 100000
devices/albq-cr5/interfaces/to_doenet-lafo_se-451, 100000
devices/albq-cr5/interfaces/to_albq-mpr1, 10000
devices/albq-cr5/interfaces/to_denv-cr5_ip-a, 100000
devices/albq-cr5/interfaces/to_snla-rt1_ip-b, 10000
devices/albq-cr5/interfaces/to_elpa-cr5_ip-a, 100000
devices/albq-cr5/interfaces/9%2F1%2F1, 10000
devices/albq-cr5/interfaces/9%2F1%2F2, 10000
devices/albq-cr5/interfaces/9%2F1%2F3, 10000
devices/albq-cr5/interfaces/9%2F1%2F4, 10000
devices/albq-cr5/interfaces/9%2F1%2F5, 10000
devices/albq-cr5/interfaces/9%2F1%2F6, 10000
devices/albq-cr5/interfaces/10%2F1%2F1, 10000
devices/albq-cr5/interfaces/10%2F1%2F2, 10000
devices/albq-cr5/interfaces/10%2F1%2F3, 10000
devices/albq-cr5/interfaces/10%2F1%2F4, 10000
devices/albq-cr5/interfaces/10%2F1%2F5, 10000
devices/albq-cr5/interfaces/1%2F1%2F1, 100000
devices/albq-cr5/interfaces/A%2F1, 100
devices/albq-cr5/interfaces/to_lanl_ip-a, 100000
devices/albq-cr5/interfaces/B%2F1, 100
devices/albq-cr5/interfaces/to_albq-owamp, 10000
devices/albq-cr5/interfaces/2%2F1%2F1, 100000
devices/albq-cr5/interfaces/to_albq-pt1, 10000
devices/albq-cr5/interfaces/to_albq-pt1-v6, 10000
devices/albq-cr5/interfaces/to_llnl_ip-a, 100000
devices/albq-mpr1/interfaces/em2, 1000
devices/albq-mpr1/interfaces/em2.32768, 1000
devices/albq-mpr1/interfaces/em3, 1000
devices/albq-mpr1/interfaces/em0, 1000
devices/albq-mpr1/interfaces/em0.0, 1000
devices/albq-mpr1/interfaces/vme.0, 1000
devices/albq-mpr1/interfaces/gr-0%2F0%2F0, 800
devices/albq-mpr1/interfaces/pfh-0%2F0%2F0, 800
devices/albq-mpr1/interfaces/pfe-0%2F0%2F0, 800
devices/albq-mpr1/interfaces/ge-0%2F0%2F3.0, 1000
devices/albq-mpr1/interfaces/xe-0%2F0%2F0, 10000
devices/albq-mpr1/interfaces/ge-0%2F0%2F12, 100
devices/albq-mpr1/interfaces/ge-0%2F0%2F1, 1000
devices/albq-mpr1/interfaces/ge-0%2F0%2F1.0, 1000
devices/albq-mpr1/interfaces/jsrv.1, 1000
devices/albq-mpr1/interfaces/sxe-0%2F0%2F0, 1000
devices/albq-mpr1/interfaces/sxe-0%2F0%2F1, 1000
devices/albq-mpr1/interfaces/sxe-0%2F0%2F0.16386, 1000
devices/albq-mpr1/interfaces/sxe-0%2F0%2F1.16386, 1000
devices/albq-mpr1/interfaces/ge-0%2F0%2F13, 100
devices/albq-mpr1/interfaces/irb.910, 1000
devices/albq-mpr1/interfaces/irb.920, 1000
devices/albq-mpr1/interfaces/irb.930, 1000
devices/albq-mpr1/interfaces/irb.940, 1000
devices/albq-mpr1/interfaces/irb.950, 1000
devices/albq-mpr1/interfaces/xe-0%2F0%2F0.955, 10000
devices/albq-mpr1/interfaces/xe-0%2F0%2F0.32767, 10000
devices/albq-mpr1/interfaces/ge-0%2F0%2F24, 1000
devices/albq-mpr1/interfaces/ge-0%2F0%2F25, 1000
devices/albq-mpr1/interfaces/ge-0%2F0%2F26, 1000
devices/albq-mpr1/interfaces/ge-0%2F0%2F28, 1000
devices/albq-mpr1/interfaces/ge-0%2F0%2F29, 1000
devices/albq-mpr1/interfaces/ge-0%2F0%2F12.0, 100
devices/albq-mpr1/interfaces/ge-0%2F0%2F13.0, 100
devices/albq-mpr1/interfaces/ge-0%2F0%2F24.0, 1000
devices/albq-mpr1/interfaces/ge-0%2F0%2F25.0, 1000
devices/albq-mpr1/interfaces/ge-0%2F0%2F3, 1000
devices/ameslab-rt1/interfaces/em2, 1000
devices/ameslab-rt1/interfaces/em2.32768, 1000
devices/ameslab-rt1/interfaces/em3, 1000
devices/ameslab-rt1/interfaces/em3.0, 1000
devices/ameslab-rt1/interfaces/em4, 1000
devices/ameslab-rt1/interfaces/em4.0, 1000
devices/ameslab-rt1/interfaces/jsrv.1, 1000
devices/ameslab-rt1/interfaces/lc-0%2F0%2F0, 800
devices/ameslab-rt1/interfaces/pfh-0%2F0%2F0, 800
devices/ameslab-rt1/interfaces/pfe-0%2F0%2F0, 800
devices/ameslab-rt1/interfaces/xe-0%2F1%2F5.920, 10000
devices/ameslab-rt1/interfaces/xe-0%2F1%2F5.32767, 10000
devices/ameslab-rt1/interfaces/xe-0%2F1%2F5.922, 10000
devices/ameslab-rt1/interfaces/xe-0%2F1%2F0.100, 10000
devices/ameslab-rt1/interfaces/xe-0%2F1%2F2.911, 10000
devices/ameslab-rt1/interfaces/xe-0%2F1%2F2.915, 10000
devices/ameslab-rt1/interfaces/xe-0%2F1%2F2.32767, 10000
devices/ameslab-rt1/interfaces/xe-0%2F1%2F0.919, 10000
devices/ameslab-rt1/interfaces/xe-0%2F1%2F1.909, 10000
devices/ameslab-rt1/interfaces/xe-0%2F1%2F1.32767, 10000
devices/ameslab-rt1/interfaces/xe-0%2F1%2F1, 10000
devices/ameslab-rt1/interfaces/xe-0%2F1%2F2, 10000
devices/ameslab-rt1/interfaces/xe-0%2F1%2F0, 10000
devices/ameslab-rt1/interfaces/xe-0%2F1%2F5, 10000
devices/ameslab-rt1/interfaces/xe-0%2F1%2F6, 10000
devices/ameslab-rt1/interfaces/xe-0%2F1%2F7, 10000
devices/ameslab-rt1/interfaces/xe-0%2F1%2F3, 10000
devices/ameslab-rt1/interfaces/xe-0%2F1%2F4, 10000
devices/ameslab-rt1/interfaces/xe-0%2F1%2F0.909, 10000
devices/ameslab-rt1/interfaces/xe-0%2F1%2F0.32767, 10000
devices/ameslab-rt1/interfaces/xe-0%2F1%2F7.5, 10000
devices/ameslab-rt1/interfaces/et-0%2F0%2F0, 100000
devices/ameslab-rt1/interfaces/et-0%2F0%2F1, 100000
devices/ameslab-rt1/interfaces/et-0%2F0%2F2, 100000
devices/ameslab-rt1/interfaces/et-0%2F0%2F0.5, 100000
devices/ameslab-rt1/interfaces/et-0%2F0%2F0.32767, 100000
devices/ameslab-rt1/interfaces/xe-0%2F1%2F7.32767, 10000
devices/ameslab-rt2/interfaces/em2, 1000
devices/ameslab-rt2/interfaces/em2.32768, 1000
devices/ameslab-rt2/interfaces/em3, 1000
devices/ameslab-rt2/interfaces/em3.0, 1000
devices/ameslab-rt2/interfaces/em4, 1000
devices/ameslab-rt2/interfaces/em4.0, 1000
devices/ameslab-rt2/interfaces/jsrv.1, 1000
devices/ameslab-rt2/interfaces/lc-0%2F0%2F0, 800
devices/ameslab-rt2/interfaces/pfh-0%2F0%2F0, 800
devices/ameslab-rt2/interfaces/pfe-0%2F0%2F0, 800
devices/ameslab-rt2/interfaces/xe-0%2F1%2F5.902, 10000
devices/ameslab-rt2/interfaces/xe-0%2F1%2F5.32767, 10000
devices/ameslab-rt2/interfaces/xe-0%2F1%2F5.912, 10000
devices/ameslab-rt2/interfaces/xe-0%2F1%2F0, 10000
devices/ameslab-rt2/interfaces/xe-0%2F1%2F1, 10000
devices/ameslab-rt2/interfaces/xe-0%2F1%2F2, 10000
devices/ameslab-rt2/interfaces/xe-0%2F1%2F3, 10000
devices/ameslab-rt2/interfaces/xe-0%2F1%2F4, 10000
devices/ameslab-rt2/interfaces/xe-0%2F1%2F5, 10000
devices/ameslab-rt2/interfaces/xe-0%2F1%2F6, 10000
devices/ameslab-rt2/interfaces/xe-0%2F1%2F7, 10000
devices/ameslab-rt2/interfaces/xe-0%2F1%2F7.5, 10000
devices/ameslab-rt2/interfaces/xe-0%2F1%2F7.32767, 10000
devices/ameslab-rt2/interfaces/et-0%2F0%2F0, 100000
devices/ameslab-rt2/interfaces/et-0%2F0%2F1, 100000
devices/ameslab-rt2/interfaces/et-0%2F0%2F2, 100000
devices/ameslab-rt2/interfaces/et-0%2F0%2F0.5, 100000
devices/ameslab-rt2/interfaces/et-0%2F0%2F0.32767, 100000
devices/ameslab-ssw1/interfaces/jsrv.1, 1000
devices/ameslab-ssw1/interfaces/pfh-0%2F0%2F0, 800
devices/ameslab-ssw1/interfaces/pfe-0%2F0%2F0, 800
devices/ameslab-ssw1/interfaces/ge-0%2F0%2F11, 1000
devices/ameslab-ssw1/interfaces/ge-0%2F0%2F0.0, 1000
devices/ameslab-ssw1/interfaces/ge-0%2F0%2F1.0, 1000
devices/ameslab-ssw1/interfaces/ge-0%2F0%2F2.0, 1000
devices/ameslab-ssw1/interfaces/ge-0%2F0%2F3.0, 100
devices/ameslab-ssw1/interfaces/xe-0%2F1%2F0, 10000
devices/ameslab-ssw1/interfaces/ge-0%2F1%2F1, 1000
devices/ameslab-ssw1/interfaces/ge-0%2F0%2F11.0, 1000
devices/ameslab-ssw1/interfaces/xe-0%2F1%2F0.0, 10000
devices/ameslab-ssw1/interfaces/ge-0%2F1%2F1.0, 1000
devices/ameslab-ssw1/interfaces/irb.909, 1000
devices/amst-asw1/interfaces/vme.0, 1000
devices/amst-asw1/interfaces/gr-0%2F0%2F0, 800
devices/amst-asw1/interfaces/jsrv.1, 1000
devices/amst-asw1/interfaces/pfe-0%2F0%2F0, 800
devices/amst-asw1/interfaces/pfh-0%2F0%2F0, 800
devices/amst-asw1/interfaces/irb.0, 1000
devices/amst-asw1/interfaces/ae10, 10000
devices/amst-asw1/interfaces/ae10.0, 10000
devices/amst-asw1/interfaces/irb.909, 1000
